,location,location_id,direction,position,ons,offs,total,lifts,period
747,A Ave & Chandler,2,E,NS,0,1,1,0,Fall2018
748,A Ave & Second St,3,E,FS,21,9,30,1,Fall2018
744,A Ave & 10th St,4,W,NS,1,0,1,0,Fall2018
745,A Ave & 8th St,6,E,NS,0,2,2,0,Fall2018
746,A Ave & 8th St,7,W,NS,1,0,1,0,Fall2018
694,900 Block Abernethy,8,E,AT,0,0,0,0,Fall2018
749,Abernethy & Barclay,9,N,NS,1,0,1,0,Fall2018
750,Abernethy & Barclay,10,S,OP,1,1,2,0,Fall2018
751,Abernethy & Beatrice,11,E,FS,0,0,0,0,Fall2018
752,Abernethy & Center,12,W,NS,1,1,2,0,Fall2018
753,Abernethy & Duniway,13,N,NS,0,0,0,0,Fall2018
754,Abernethy & Duniway,14,S,OP,0,0,0,1,Fall2018
755,Abernethy & Portland Ave,16,W,FS,3,4,7,7,Fall2018
756,Abernethy & Portland Ave,17,E,NS,3,3,6,4,Fall2018
378,2800 Block NE 92nd,20,N,AT,0,0,0,0,Fall2018
379,2800 Block NE 92nd,21,S,AT,0,0,0,0,Fall2018
443,3400 Block NE 92nd,25,N,AT,2,5,7,0,Fall2018
2186,NE 92nd & Hill,26,S,NS,7,1,8,0,Fall2018
1282,N Adair & 7th,27,W,FS,10,25,35,2,Fall2018
318,2200 Block Baseline,28,W,AT,46,73,119,40,Fall2018
1276,N Adair & 10th,30,W,NS,1,6,7,0,Fall2018
1277,N Adair & 12th,31,W,NS,37,87,124,4,Fall2018
1278,N Adair & 14th,32,W,NS,23,51,74,6,Fall2018
1279,N Adair & 17th,33,W,FS,9,15,24,2,Fall2018
1280,N Adair & 20th,34,W,FS,24,38,62,9,Fall2018
1281,N Adair & 4th,35,W,FS,55,140,195,57,Fall2018
1648,N Trenton & Alaska,40,E,NS,55,20,75,46,Fall2018
1284,N Alaska & Chautauqua,41,E,NS,41,8,49,4,Fall2018
1285,N Alaska & Chautauqua Pl,42,E,OP,37,15,52,7,Fall2018
1286,N Alaska & Chautauqua Pl,43,W,NS,13,32,45,2,Fall2018
1287,N Alaska & Foss,44,E,OP,21,14,35,21,Fall2018
1288,N Alaska & University Park,45,W,OP,11,28,39,18,Fall2018
2243,NE Alberta & M L King ,46,E,FS,115,45,160,27,Fall2018
2218,NE Alberta & 11th,48,E,NS,12,15,27,2,Fall2018
2219,NE Alberta & 11th,49,W,NS,11,12,23,6,Fall2018
2226,NE Alberta & 13th,50,E,NS,25,14,39,23,Fall2018
2227,NE Alberta & 13th,51,W,NS,13,20,33,14,Fall2018
2228,NE Alberta & 15th,52,E,NS,83,89,172,29,Fall2018
2229,NE Alberta & 15th,53,W,NS,100,100,200,28,Fall2018
2230,NE Alberta & 18th,54,E,NS,31,32,63,5,Fall2018
2231,NE Alberta & 18th,55,W,NS,3,13,16,0,Fall2018
2234,NE Alberta & 24th,60,E,NS,28,28,56,4,Fall2018
2235,NE Alberta & 24th,61,W,NS,31,28,59,4,Fall2018
2236,NE Alberta & 27th,63,E,NS,43,41,84,15,Fall2018
2237,NE Alberta & 27th,64,W,NS,44,44,88,17,Fall2018
4227,SE Alberta & 70th,67,E,OP,5,7,12,5,Fall2018
4228,SE Alberta & 70th,68,W,NS,4,5,9,4,Fall2018
2241,NE Alberta & 9th,69,E,NS,39,35,74,16,Fall2018
2242,NE Alberta & 9th,70,W,NS,32,33,65,10,Fall2018
1289,N Albina & Ainsworth,71,N,FS,20,33,53,4,Fall2018
1290,N Albina & Ainsworth,72,S,NS,37,20,57,4,Fall2018
1291,N Albina & Alberta,73,N,NS,23,51,74,15,Fall2018
1292,N Albina & Alberta,74,S,FS,51,26,77,9,Fall2018
1293,N Albina & Blandena,76,N,FS,28,52,80,62,Fall2018
1294,N Albina & Blandena,77,S,FS,58,30,88,93,Fall2018
1295,N Albina & Bryant,78,N,NS,11,22,33,4,Fall2018
1296,N Albina & Bryant,79,S,NS,28,15,43,3,Fall2018
1297,N Albina & Buffalo,80,N,NS,3,11,14,0,Fall2018
1298,N Albina & Buffalo,81,S,NS,14,5,19,1,Fall2018
1299,N Albina & Dekum,82,N,NS,9,18,27,13,Fall2018
1300,N Albina & Dekum,83,S,NS,24,15,39,23,Fall2018
1301,N Albina & Holman,84,N,OP,2,9,11,1,Fall2018
1302,N Albina & Killingsworth,88,N,FS,239,245,484,64,Fall2018
1303,N Albina & Killingsworth,89,S,FS,263,228,491,60,Fall2018
1304,N Albina & Lombard St,90,S,FS,66,19,85,3,Fall2018
1306,N Albina & Rosa Parks Way,91,N,FS,19,33,52,9,Fall2018
1307,N Albina & Rosa Parks Way,92,S,FS,42,19,61,23,Fall2018
1305,N Albina & Lombard St,93,N,NS,8,62,70,4,Fall2018
1308,N Albina & Sumner,94,N,NS,41,46,87,3,Fall2018
1309,N Albina & Sumner,95,S,NS,47,55,102,2,Fall2018
5958,SW Allen & Dale,99,E,NS,9,2,11,0,Fall2018
5959,SW Allen & Erickson,100,E,NS,37,9,46,1,Fall2018
5960,SW Allen & Erickson,101,W,FS,8,31,39,3,Fall2018
5961,SW Allen & Hall,102,E,NS,9,45,54,6,Fall2018
5962,SW Allen & Hall,103,W,NS,37,23,60,6,Fall2018
5966,SW Allen & Menlo,104,E,NS,23,5,28,0,Fall2018
5967,SW Allen & Menlo,105,W,NS,6,23,29,1,Fall2018
5968,SW Allen & Murray,106,E,FS,26,5,31,6,Fall2018
5969,SW Allen & Taralynn,108,W,FS,5,13,18,2,Fall2018
5970,SW Allen & Wilson,111,E,NS,18,4,22,0,Fall2018
5971,SW Allen & Wilson,112,W,OP,5,16,21,0,Fall2018
5956,SW Allen & 141st,113,E,OP,18,3,21,1,Fall2018
5957,SW Allen & 141st,114,W,NS,3,18,21,2,Fall2018
1310,N Anchor & Channel,115,E,NS,291,195,486,31,Fall2018
1947,NE 21st & Argyle,118,S,FS,22,0,22,0,Fall2018
7480,W Arlington & Barton,121,E,NS,34,6,40,8,Fall2018
7481,W Arlington & Barton,122,W,NS,0,6,6,1,Fall2018
7482,W Arlington & Beatrice,123,E,NS,2,0,2,0,Fall2018
7483,W Arlington & Beatrice,124,W,NS,0,1,1,0,Fall2018
7484,W Arlington & Bellevue,125,E,NS,0,1,1,0,Fall2018
7485,W Arlington & Bellevue,126,W,NS,1,1,2,0,Fall2018
914,E Arlington & Cornell,131,E,NS,3,1,4,0,Fall2018
915,E Arlington & Cornell,132,W,NS,2,1,3,1,Fall2018
916,E Arlington & Harvard,133,E,NS,2,1,3,0,Fall2018
917,E Arlington & Harvard,134,W,NS,0,1,1,0,Fall2018
7486,W Arlington & McLoughlin,135,W,NS,3,32,35,7,Fall2018
7487,W Arlington & Portland Ave,136,E,NS,7,4,11,1,Fall2018
918,E Arlington & Portland Ave,137,W,NS,3,2,5,1,Fall2018
913,E Arlington & 82nd Dr,140,E,NS,6,5,11,2,Fall2018
670,82nd Dr & E Berkeley,141,S,FS,3,5,8,1,Fall2018
5979,SW Arthur & 1st,142,E,NS,30,49,79,19,Fall2018
5980,SW Arthur & 1st,143,W,NS,81,64,145,18,Fall2018
278,19th & B St,146,E,FS,273,188,461,101,Fall2018
761,B Ave & Second St,147,W,NS,15,28,43,1,Fall2018
12,10100 Block SW Barbur,150,E,AT,14,17,31,4,Fall2018
32,10700 Block SW Barbur,152,S,AT,1,5,6,0,Fall2018
53,11100 Block SW Barbur,153,W,AT,1,1,2,0,Fall2018
54,11100 Block SW Barbur,154,E,OP,2,1,3,0,Fall2018
521,4900 Block SW Barbur,155,S,OP,56,63,119,4,Fall2018
522,4900 Block SW Barbur,156,N,AT,67,59,126,7,Fall2018
5993,SW Barbur & 26th Ave,159,E,OP,46,7,53,3,Fall2018
717,9500 Block SW Barbur,160,E,AT,13,4,17,1,Fall2018
6000,SW Barbur & Alice ,162,E,FS,25,8,33,9,Fall2018
6001,SW Barbur & Alice ,163,W,NS,6,22,28,6,Fall2018
6026,SW Barbur & Taylors Ferry ,164,W,NS,5,15,20,1,Fall2018
6002,SW Barbur & Barbur Ct ,165,W,OP,6,33,39,8,Fall2018
6006,SW Barbur & Capitol Hwy ,168,E,NS,64,35,99,5,Fall2018
6005,SW Barbur & Capitol Hill ,170,S,FS,38,130,168,16,Fall2018
6009,SW Barbur & Hamilton ,172,N,FS,144,97,241,17,Fall2018
6010,SW Barbur & Hamilton ,173,W,NS,100,166,266,13,Fall2018
6011,SW Barbur & Hooker ,174,N,NS,26,16,42,1,Fall2018
6012,SW Barbur & Hooker ,175,S,NS,26,34,60,1,Fall2018
6014,SW Barbur & Lane ,176,S,NS,8,25,33,1,Fall2018
6015,SW Barbur & Lane ,177,N,OP,30,15,45,0,Fall2018
6016,SW Barbur & Luradel ,178,S,OP,20,48,68,1,Fall2018
6017,SW Barbur & Luradel ,179,N,FS,44,21,65,0,Fall2018
6018,SW Barbur & Moss ,180,N,NS,22,6,28,0,Fall2018
6020,SW Barbur & Parkhill Dr ,181,S,FS,3,5,8,0,Fall2018
6019,SW Barbur & Parkhill ,182,N,FS,6,3,9,0,Fall2018
55,11200 Block SW Barbur,183,E,AT,11,7,18,0,Fall2018
56,11200 Block SW Barbur,184,W,OP,5,11,16,0,Fall2018
6021,SW Barbur & Pennoyer ,185,S,OP,5,11,16,0,Fall2018
6022,SW Barbur & Pennoyer ,186,N,FS,12,7,19,1,Fall2018
6023,SW Barbur & Primrose ,187,W,NS,23,64,87,33,Fall2018
6007,SW Barbur & Capitol Hwy ,188,S,FS,4,9,13,0,Fall2018
6024,SW Barbur & Slavin/Capitol Hwy,189,N,OP,5,4,9,0,Fall2018
6027,SW Barbur & Terwilliger ,191,W,FS,30,68,98,3,Fall2018
6028,SW Barbur & Terwilliger ,193,E,FS,66,20,86,4,Fall2018
693,8900 Block SW Barbur,194,W,AT,2,29,31,3,Fall2018
6029,SW Barbur & Whitaker ,195,N,FS,20,24,44,0,Fall2018
6030,SW Barbur & Whitaker ,196,S,OP,28,20,48,0,Fall2018
6031,SW Barbur & Woods ,197,N,NS,9,7,16,0,Fall2018
6032,SW Barbur & Woods ,198,S,OP,5,7,12,0,Fall2018
6003,SW Barbur & Bertha ,199,W,FS,117,192,309,26,Fall2018
5989,SW Barbur & 13th,200,W,FS,17,27,44,21,Fall2018
6008,SW Barbur & Evans ,201,S,NS,3,20,23,3,Fall2018
5991,SW Barbur & 19th,202,E,NS,101,33,134,8,Fall2018
5995,SW Barbur & 2nd,203,N,NS,54,4,58,1,Fall2018
5997,SW Barbur & 3rd,207,W,NS,12,61,73,1,Fall2018
5996,SW Barbur & 30th,208,E,FS,85,20,105,35,Fall2018
5998,SW Barbur & 53rd,209,W,NS,7,15,22,1,Fall2018
5999,SW Barbur & 53rd,210,E,FS,19,10,29,0,Fall2018
6891,SW Pacific Hwy & 64th,211,E,NS,44,23,67,0,Fall2018
762,Barbur Transit Center,212,E,AT,555,52,607,20,Fall2018
83,12200 Block NW Barnes,227,S,AT,45,8,53,0,Fall2018
3218,NW Barnes & Saltzman,228,N,AT,14,17,31,2,Fall2018
645,7600 Block SW Barnes,229,E,FS,32,8,40,0,Fall2018
667,8200 Block SW Barnes (Art School),230,E,OP,9,9,18,0,Fall2018
668,8200 Block SW Barnes (Art School),231,W,AT,9,13,22,0,Fall2018
709,9300 Block SW Barnes,233,E,AT,7,8,15,2,Fall2018
91,12400 Block NW Barnes,234,N,OP,14,36,50,1,Fall2018
690,8800 Block SW Barnes (Catlin Gabel School),235,W,NS,3,12,15,0,Fall2018
6050,SW Barnes & Leahy,236,E,NS,93,24,117,0,Fall2018
6051,SW Barnes & Leahy,237,W,NS,18,83,101,1,Fall2018
6052,SW Barnes & Miller,238,E,FS,34,25,59,1,Fall2018
6053,SW Barnes & Miller,239,W,FS,20,55,75,1,Fall2018
6055,SW Barnes & Monterey/St Vincent Hosp Dr,240,W,NS,2,6,8,0,Fall2018
6054,SW Barnes & Monterey,241,E,NS,6,2,8,1,Fall2018
6058,SW Barnes & W Stark,247,E,FS,24,9,33,1,Fall2018
6035,SW Barnes & 70th,251,E,OP,3,1,4,0,Fall2018
6042,SW Barnes & 70th,252,W,FS,1,8,9,0,Fall2018
6043,SW Barnes & 84th,253,W,FS,2,4,6,0,Fall2018
6045,SW Barnes & 88th,255,E,NS,13,3,16,0,Fall2018
919,E Baseline & Valley View,256,E,OP,4,1,5,2,Fall2018
5576,SE Tualatin Valley Hwy & 44th,257,W,NS,42,24,66,128,Fall2018
612,700 Block Baseline,258,E,AT,13,6,19,1,Fall2018
6062,SW Baseline & Adams,259,W,NS,84,11,95,17,Fall2018
998,E Main & NE Brookwood,260,W,FS,7,16,23,2,Fall2018
1014,E Main & SE Brookwood,261,E,NS,16,6,22,2,Fall2018
775,Baseline St & S 26th,263,E,NS,40,15,55,3,Fall2018
6067,SW Baseline St & 17th,264,W,OP,27,44,71,12,Fall2018
7492,W Baseline Rd & SW Lisa,265,W,FS,3,0,3,0,Fall2018
319,2200 Block Baseline,267,E,AT,50,29,79,24,Fall2018
3,1000 Block SW Baseline St,268,W,AT,22,55,77,12,Fall2018
7493,W Baseline Rd & SW Willow Creek Dr,269,E,NS,0,18,18,1,Fall2018
774,Baseline St & S 1st,270,E,FS,20,18,38,3,Fall2018
771,Baseline St & S 10th,271,E,NS,12,16,28,4,Fall2018
772,Baseline St & S 12th,272,E,FS,98,34,132,12,Fall2018
773,Baseline St & S 14th,273,E,NS,45,27,72,2,Fall2018
7489,W Baseline Rd & SW 185th,275,W,FS,5,1,6,0,Fall2018
766,Baseline & S 20th,277,E,NS,50,36,86,4,Fall2018
7490,W Baseline Rd & SW 194th,278,E,FS,1,2,3,0,Fall2018
7491,W Baseline Rd & SW 195th,279,W,NS,1,1,2,0,Fall2018
4229,SE Baseline St & 2nd,280,W,NS,120,160,280,45,Fall2018
767,Baseline St & N 26th,284,W,FS,7,34,41,3,Fall2018
768,Baseline St & N 29th/Hobbs,285,E,OP,11,5,16,0,Fall2018
769,Baseline St & N 29th/Hobbs,286,W,FS,8,16,24,0,Fall2018
770,Baseline St & N 31st,287,W,FS,3,8,11,2,Fall2018
994,E Main & NE 32nd,288,W,NS,3,9,12,0,Fall2018
6059,SW Baseline & 331st,290,W,OP,1,2,3,0,Fall2018
6060,SW Baseline & 331st,291,E,FS,3,1,4,0,Fall2018
6065,SW Baseline & NW 334th,292,W,FS,1,4,5,0,Fall2018
6066,SW Baseline & NW 334th,293,E,OP,4,1,5,0,Fall2018
764,Baseline & NW 338th,296,W,FS,1,3,4,0,Fall2018
765,Baseline & NW 338th,297,E,OP,2,3,5,0,Fall2018
777,Baseline St & Valley View,298,W,AT,2,9,11,1,Fall2018
6061,SW Baseline & 345th,300,E,NS,11,4,15,3,Fall2018
995,E Main & NE 37th,301,W,NS,4,5,9,0,Fall2018
1013,E Main & SE 37th,302,E,NS,5,5,10,0,Fall2018
776,Baseline St & S 4th,303,E,NS,112,32,144,33,Fall2018
4230,SE Baseline St & 3rd,304,W,NS,84,108,192,11,Fall2018
996,E Main & NE 40th,305,W,NS,2,1,3,0,Fall2018
997,E Main & NE 40th,306,E,OP,5,2,7,0,Fall2018
4231,SE Baseline St & 5th,307,W,NS,9,40,49,18,Fall2018
4232,SE Baseline St & 7th,308,W,NS,38,74,112,27,Fall2018
4233,SE Baseline St & 9th,310,W,NS,75,129,204,24,Fall2018
590,6200 Block N Basin,313,E,AT,2,0,2,1,Fall2018
594,6300 Block N Basin,314,N,AT,1,4,5,0,Fall2018
1315,N Basin & Fathom,315,S,FS,6,0,6,0,Fall2018
606,6700 Block N Basin (Coast Guard),316,E,AT,7,6,13,0,Fall2018
1311,N Basin & Emerson,317,S,OP,11,0,11,1,Fall2018
1312,N Basin & Emerson,318,N,FS,2,11,13,5,Fall2018
1313,N Basin & Ensign,319,S,NS,15,1,16,0,Fall2018
1314,N Basin & Ensign,320,N,FS,19,51,70,1,Fall2018
1316,N Basin & Fathom,321,N,NS,15,29,44,0,Fall2018
1317,N Basin & Leverman,322,S,OP,3,1,4,0,Fall2018
1318,N Basin & Pacific Pride,324,N,AT,0,11,11,0,Fall2018
356,2600 Block SW Beaverton-Hillsdale,325,E,AT,16,6,22,0,Fall2018
455,3600 Block SW Beaverton-Hillsdale,326,E,AT,6,3,9,1,Fall2018
456,3600 Block SW Beaverton-Hillsdale,327,W,OP,2,5,7,0,Fall2018
6097,SW Beaverton-Hillsdale & 59th,328,E,OP,54,12,66,57,Fall2018
589,6100 Block SW Beaverton-Hillsdale,329,W,AT,30,44,74,27,Fall2018
636,7300 Block SW Beaverton-Hillsdale,331,E,OP,8,11,19,5,Fall2018
637,7400 Block SW Beaverton-Hillsdale,332,W,AT,7,19,26,2,Fall2018
649,7700 Block SW Beaverton-Hillsdale,333,E,AT,31,32,63,21,Fall2018
6107,SW Beaverton-Hillsdale & Apple Way ,335,E,NS,7,6,13,0,Fall2018
6108,SW Beaverton-Hillsdale & Bertha ,336,E,NS,11,3,14,3,Fall2018
6109,SW Beaverton-Hillsdale & Dosch ,340,W,NS,24,97,121,1,Fall2018
6110,SW Beaverton-Hillsdale & Griffith ,341,W,FS,20,55,75,30,Fall2018
6111,SW Beaverton-Hillsdale & Griffith ,342,E,NS,52,19,71,28,Fall2018
6112,SW Beaverton-Hillsdale & Jamieson ,343,W,OP,34,29,63,8,Fall2018
6113,SW Beaverton-Hillsdale & Jamieson ,344,E,FS,27,33,60,5,Fall2018
6123,SW Beaverton-Hillsdale & White Pine Ln ,345,E,FS,20,9,29,0,Fall2018
6114,SW Beaverton-Hillsdale & Laurelwood ,346,W,NS,11,25,36,2,Fall2018
6115,SW Beaverton-Hillsdale & Laurelwood ,347,E,NS,23,11,34,2,Fall2018
6116,SW Beaverton-Hillsdale & Oleson ,348,E,NS,136,48,184,20,Fall2018
6118,SW Beaverton-Hillsdale & Poplar Ln ,349,W,NS,4,3,7,0,Fall2018
6117,SW Beaverton-Hillsdale & Oleson ,350,W,NS,33,67,100,9,Fall2018
6119,SW Beaverton-Hillsdale & Shattuck ,351,E,NS,65,20,85,18,Fall2018
6120,SW Beaverton-Hillsdale & Shattuck ,352,W,FS,1,21,22,7,Fall2018
6121,SW Beaverton-Hillsdale & Western ,354,E,NS,18,35,53,13,Fall2018
6122,SW Beaverton-Hillsdale & Western ,355,W,OP,36,26,62,13,Fall2018
6124,SW Beaverton-Hillsdale & White Pine Ln ,356,W,NS,10,12,22,1,Fall2018
6069,SW Beaverton-Hillsdale & 101st,357,E,FS,8,6,14,0,Fall2018
6070,SW Beaverton-Hillsdale & 101st,358,W,NS,3,4,7,0,Fall2018
6068,SW Beaverton- Hillsdale & 107th,359,W,NS,35,34,69,11,Fall2018
6071,SW Beaverton-Hillsdale & 107th,360,E,NS,28,47,75,15,Fall2018
6072,SW Beaverton-Hillsdale & 110th,361,W,NS,23,12,35,6,Fall2018
6073,SW Beaverton-Hillsdale & 110th,362,E,OP,12,21,33,6,Fall2018
6074,SW Beaverton-Hillsdale & 18th Dr,363,W,NS,50,61,111,13,Fall2018
6075,SW Beaverton-Hillsdale & 25th,364,E,FS,17,6,23,0,Fall2018
6076,SW Beaverton-Hillsdale & 25th,365,W,NS,8,30,38,0,Fall2018
357,2600 Block SW Beaverton-Hillsdale,366,W,FS,5,6,11,0,Fall2018
6077,SW Beaverton-Hillsdale & 30th,367,E,NS,78,16,94,1,Fall2018
6078,SW Beaverton-Hillsdale & 33rd,368,E,NS,33,11,44,9,Fall2018
6079,SW Beaverton-Hillsdale & 35th,369,E,FS,34,9,43,0,Fall2018
6080,SW Beaverton-Hillsdale & 35th,370,W,OP,17,32,49,3,Fall2018
6081,SW Beaverton-Hillsdale & 39th Dr,371,E,OP,35,7,42,10,Fall2018
6082,SW Beaverton-Hillsdale & 39th Dr,372,W,NS,5,34,39,1,Fall2018
6083,SW Beaverton-Hillsdale & 42nd,373,E,FS,35,9,44,4,Fall2018
6084,SW Beaverton-Hillsdale & 42nd,374,W,NS,9,36,45,13,Fall2018
6085,SW Beaverton-Hillsdale & 45th,375,E,FS,68,22,90,9,Fall2018
6086,SW Beaverton-Hillsdale & 45th,376,W,NS,23,79,102,5,Fall2018
6087,SW Beaverton-Hillsdale & 50th,377,E,NS,22,4,26,0,Fall2018
6088,SW Beaverton-Hillsdale & 50th,378,W,OP,4,35,39,1,Fall2018
6095,SW Beaverton-Hillsdale & 56th,379,E,OP,46,14,60,7,Fall2018
6096,SW Beaverton-Hillsdale & 56th,380,W,FS,30,94,124,34,Fall2018
6098,SW Beaverton-Hillsdale & 59th,381,W,NS,14,38,52,75,Fall2018
6099,SW Beaverton-Hillsdale & 62nd,382,E,FS,47,30,77,40,Fall2018
601,6500 Block SW Beaverton-Hillsdale,383,E,AT,24,14,38,5,Fall2018
6100,SW Beaverton-Hillsdale & 65th,384,W,OP,22,39,61,6,Fall2018
6101,SW Beaverton-Hillsdale & 78th,385,W,NS,45,34,79,9,Fall2018
6102,SW Beaverton-Hillsdale & 78th,386,E,NS,23,28,51,2,Fall2018
6103,SW Beaverton-Hillsdale & 91st,387,W,FS,28,28,56,23,Fall2018
6104,SW Beaverton-Hillsdale & 91st,388,E,OP,24,17,41,18,Fall2018
6105,SW Beaverton-Hillsdale & 99th,389,W,NS,10,11,21,4,Fall2018
6106,SW Beaverton-Hillsdale & 99th,390,E,OP,9,8,17,4,Fall2018
4243,SE Bell & Our Ct ,394,N,NS,7,11,18,30,Fall2018
4240,SE Bell & Johnson Creek,395,N,NS,21,12,33,1,Fall2018
4241,SE Bell & Johnson Creek,396,S,FS,12,20,32,1,Fall2018
4244,SE Bell & Pierce ,397,N,NS,7,5,12,1,Fall2018
4242,SE Bell & Jordan ,398,S,NS,4,7,11,0,Fall2018
4246,SE Belmont & 11th,400,E,FS,131,165,296,57,Fall2018
4247,SE Belmont & 14th,402,E,NS,31,65,96,26,Fall2018
4248,SE Belmont & 17th,404,E,NS,16,58,74,8,Fall2018
4249,SE Belmont & 20th,406,E,NS,34,106,140,8,Fall2018
4250,SE Belmont & 23rd,408,E,NS,12,40,52,6,Fall2018
4251,SE Belmont & 26th,410,W,NS,120,67,187,68,Fall2018
4253,SE Belmont & 30th,417,W,FS,168,42,210,41,Fall2018
4254,SE Belmont & 30th,418,E,FS,49,143,192,75,Fall2018
4255,SE Belmont & 34th,422,E,FS,52,163,215,33,Fall2018
4256,SE Belmont & 34th,423,W,FS,173,52,225,26,Fall2018
4257,SE Belmont & 37th,425,E,FS,13,71,84,26,Fall2018
4258,SE Belmont & 38th,426,W,FS,82,14,96,34,Fall2018
4282,SE Belmont & Cesar Chavez Blvd,427,E,FS,94,179,273,63,Fall2018
4283,SE Belmont & Cesar Chavez Blvd,428,W,NS,150,79,229,43,Fall2018
4259,SE Belmont & 42nd,429,E,NS,17,78,95,4,Fall2018
4260,SE Belmont & 42nd,430,W,FS,116,21,137,11,Fall2018
4261,SE Belmont & 46th,435,W,NS,96,33,129,51,Fall2018
4262,SE Belmont & 46th,436,E,OP,39,102,141,62,Fall2018
4263,SE Belmont & 49th,439,E,NS,14,29,43,9,Fall2018
4264,SE Belmont & 49th,440,W,NS,42,13,55,9,Fall2018
4265,SE Belmont & 50th,442,E,FS,7,15,22,0,Fall2018
4267,SE Belmont & 53rd,443,E,FS,4,26,30,2,Fall2018
4268,SE Belmont & 53rd,444,W,NS,29,4,33,3,Fall2018
4269,SE Belmont & 55th,445,E,NS,4,27,31,5,Fall2018
4270,SE Belmont & 55th,446,W,NS,23,6,29,2,Fall2018
4271,SE Belmont & 58th,448,E,OP,3,17,20,7,Fall2018
4272,SE Belmont & 58th,449,W,NS,16,2,18,6,Fall2018
4273,SE Belmont & 60th,450,E,FS,54,128,182,12,Fall2018
4274,SE Belmont & 60th,451,W,NS,110,30,140,15,Fall2018
4275,SE Belmont & 62nd,453,E,OP,3,4,7,0,Fall2018
4276,SE Belmont & 62nd,454,W,FS,7,5,12,0,Fall2018
4277,SE Belmont & 65th,456,E,OP,1,5,6,0,Fall2018
4278,SE Belmont & 65th,457,W,NS,4,1,5,0,Fall2018
4279,SE Belmont & 67th,459,E,NS,2,10,12,0,Fall2018
4280,SE Belmont & 68th,460,W,NS,27,4,31,1,Fall2018
4281,SE Belmont & 9th,465,E,NS,51,86,137,13,Fall2018
146,1400 Block SW Bertha,467,E,AT,2,1,3,0,Fall2018
6129,SW Binford Lake & Heiney ,469,W,NS,1,6,7,4,Fall2018
6130,SW Binford Lake & Towle ,470,E,NS,6,1,7,0,Fall2018
6131,SW Binford Lake & Towle ,471,W,FS,0,4,4,0,Fall2018
57,11200 Block SW Boones Ferry Rd,492,N,AT,2,0,2,0,Fall2018
251,18200 Block SW Boones Ferry Rd,495,S,AT,2,21,23,1,Fall2018
253,18400 Block SW Boones Ferry Rd,496,N,AT,31,6,37,2,Fall2018
6141,SW Boones Ferry Rd & Alsea ,500,S,NS,1,7,8,0,Fall2018
6148,SW Boones Ferry Rd & Apache ,501,S,NS,0,5,5,0,Fall2018
6149,SW Boones Ferry Rd & Apache ,502,N,OP,2,0,2,0,Fall2018
6150,SW Boones Ferry Rd & Arapaho ,503,N,NS,4,0,4,0,Fall2018
6151,SW Boones Ferry Rd & Arnold ,506,S,FS,0,3,3,0,Fall2018
6152,SW Boones Ferry Rd & Arnold ,507,N,OP,2,0,2,0,Fall2018
6155,SW Boones Ferry Rd & Blake ,510,N,NS,8,0,8,0,Fall2018
815,Boones Ferry Rd & Bryant,512,N,FS,3,3,6,1,Fall2018
6752,SW Lower Boones Ferry & Childs Rd,513,E,FS,2,0,2,0,Fall2018
6753,SW Lower Boones Ferry & Childs Rd,514,W,OP,0,8,8,0,Fall2018
6156,SW Boones Ferry Rd & Clara Ln ,515,W,FS,0,3,3,0,Fall2018
6157,SW Boones Ferry Rd & Colony Dr ,516,S,OP,0,1,1,0,Fall2018
6158,SW Boones Ferry Rd & Colony Dr ,517,N,FS,1,0,1,0,Fall2018
6159,SW Boones Ferry Rd & Coronado ,520,S,FS,0,2,2,0,Fall2018
6160,SW Boones Ferry Rd & Day ,521,N,OP,2,0,2,1,Fall2018
6161,SW Boones Ferry Rd & Day ,522,S,FS,0,4,4,2,Fall2018
816,Boones Ferry Rd & Firwood,529,S,NS,4,2,6,0,Fall2018
6164,SW Boones Ferry Rd & Ibach ,530,S,FS,1,13,14,0,Fall2018
6165,SW Boones Ferry Rd & Ibach ,531,N,NS,8,0,8,0,Fall2018
6162,SW Boones Ferry Rd & Greenhill Ln,533,S,OP,0,0,0,0,Fall2018
6163,SW Boones Ferry Rd & Greenhill Ln,534,N,NS,0,0,0,0,Fall2018
6168,SW Boones Ferry Rd & Killarney ,535,S,NS,0,3,3,0,Fall2018
819,Boones Ferry Rd & Kruse Way Pl,536,S,FS,2,9,11,0,Fall2018
247,18000 Block SW Lower Boones Ferry,537,E,AT,15,2,17,1,Fall2018
828,Boones Ferry Rd & SW Madrona,538,N,OP,1,1,2,1,Fall2018
829,Boones Ferry Rd & SW Madrona,539,S,NS,1,1,2,0,Fall2018
6171,SW Boones Ferry Rd & Norwood ,542,S,OP,0,3,3,0,Fall2018
6172,SW Boones Ferry Rd & Norwood ,543,N,NS,4,0,4,2,Fall2018
6174,SW Boones Ferry Rd & Palatine ,545,N,FS,1,0,1,0,Fall2018
825,Boones Ferry Rd & Rainbow,553,S,OP,0,1,1,0,Fall2018
826,Boones Ferry Rd & Rainbow,554,N,FS,2,0,2,0,Fall2018
248,18000 Block SW Lower Boones Ferry,558,W,AT,3,16,19,2,Fall2018
6176,SW Boones Ferry Rd & Siletz ,562,N,NS,3,0,3,0,Fall2018
6177,SW Boones Ferry Rd & Siletz ,563,S,NS,0,3,3,0,Fall2018
830,Boones Ferry Rd & Spring Lane,564,N,NS,8,2,10,1,Fall2018
