,location,location_id,direction,position,ons,offs,total,lifts,period
648,7700 Block NE Killingsworth,3149,W,AT,1,2,3,0,Fall2018
1438,N Killingsworth & Albina,3153,E,NS,252,47,299,35,Fall2018
1439,N Killingsworth & Albina,3154,W,NS,54,243,297,36,Fall2018
1440,N Killingsworth & Commercial,3156,E,NS,111,20,131,10,Fall2018
1441,N Killingsworth & Commercial,3157,W,FS,27,219,246,27,Fall2018
1442,N Killingsworth & Concord,3158,E,NS,14,1,15,1,Fall2018
1443,N Killingsworth & Concord,3159,W,NS,3,13,16,1,Fall2018
1444,N Killingsworth & Delaware,3160,E,NS,18,2,20,2,Fall2018
1445,N Killingsworth & Delaware,3161,W,NS,1,23,24,3,Fall2018
1446,N Killingsworth & Denver,3162,E,NS,21,4,25,4,Fall2018
1447,N Killingsworth & Denver,3163,W,NS,2,20,22,1,Fall2018
2783,NE Killingsworth & Garfield ,3165,E,NS,14,39,53,14,Fall2018
1408,N Greeley & Willamette,3167,S,NS,3,36,39,2,Fall2018
1450,N Killingsworth & Interstate,3169,E,FS,248,55,303,39,Fall2018
1451,N Killingsworth & Interstate,3170,W,NS,46,214,260,51,Fall2018
1452,N Killingsworth & Kerby,3171,E,NS,139,37,176,12,Fall2018
1453,N Killingsworth & Michigan,3173,E,NS,33,8,41,0,Fall2018
1454,N Killingsworth & Michigan,3174,W,NS,8,30,38,1,Fall2018
1448,N Killingsworth & Gay Ave,3179,E,NS,14,2,16,1,Fall2018
1455,N Killingsworth & Omaha,3180,W,NS,2,19,21,2,Fall2018
1456,N Killingsworth & Vancouver,3183,E,NS,97,38,135,23,Fall2018
1457,N Killingsworth & Vancouver,3184,W,NS,64,145,209,45,Fall2018
666,8100 Block NE Killingsworth,3185,E,AT,54,17,71,4,Fall2018
644,7600 Block NE Killingsworth,3186,E,AT,4,1,5,0,Fall2018
2749,NE Killingsworth & 31st,3189,W,NS,12,28,40,1,Fall2018
2756,NE Killingsworth & 33rd,3191,E,FS,113,87,200,25,Fall2018
2757,NE Killingsworth & 33rd,3192,W,FS,73,88,161,21,Fall2018
2758,NE Killingsworth & 35th,3193,E,NS,5,4,9,1,Fall2018
2759,NE Killingsworth & 35th,3194,W,NS,6,16,22,6,Fall2018
2760,NE Killingsworth & 36th,3195,E,NS,13,12,25,19,Fall2018
2761,NE Killingsworth & 36th,3196,W,NS,12,13,25,26,Fall2018
2779,NE Killingsworth & Cesar Chavez Blvd,3197,W,NS,7,6,13,1,Fall2018
2780,NE Killingsworth & Cesar Chavez Blvd,3198,E,NS,7,6,13,2,Fall2018
2762,NE Killingsworth & 42nd,3199,E,FS,155,119,274,27,Fall2018
2763,NE Killingsworth & 42nd,3200,W,NS,124,163,287,24,Fall2018
2764,NE Killingsworth & 46th Pl,3201,W,OP,21,14,35,0,Fall2018
2765,NE Killingsworth & 49th,3202,E,FS,32,30,62,5,Fall2018
2766,NE Killingsworth & 49th,3203,W,OP,17,20,37,1,Fall2018
2767,NE Killingsworth & 52nd,3204,E,FS,44,41,85,14,Fall2018
2768,NE Killingsworth & 52nd,3205,W,OP,58,57,115,19,Fall2018
2769,NE Killingsworth & 54th,3207,W,OP,26,31,57,10,Fall2018
2770,NE Killingsworth & 55th,3208,E,NS,35,29,64,2,Fall2018
2771,NE Killingsworth & 57th,3209,W,OP,13,11,24,0,Fall2018
2773,NE Killingsworth & 60th,3210,W,NS,59,87,146,3,Fall2018
2775,NE Killingsworth & 72nd,3211,E,FS,90,43,133,64,Fall2018
2776,NE Killingsworth & 72nd,3212,W,NS,41,84,125,47,Fall2018
2777,NE Killingsworth & 75th,3215,W,NS,1,7,8,1,Fall2018
2778,NE Killingsworth & 82nd,3216,W,FS,17,50,67,3,Fall2018
1460,N Kilpatrick & Brandon,3218,W,NS,5,8,13,6,Fall2018
1461,N Kilpatrick & Brandon,3219,E,NS,7,11,18,3,Fall2018
1462,N Kilpatrick & Denver,3221,W,FS,69,43,112,30,Fall2018
1463,N Kilpatrick & Denver,3222,E,NS,49,67,116,32,Fall2018
622,7100 Block SE King,3224,E,AT,7,8,15,0,Fall2018
655,7900 Block SE King,3226,E,AT,5,21,26,4,Fall2018
4944,SE King & Fuller,3228,W,OP,191,27,218,32,Fall2018
4941,SE King & Bell,3229,W,NS,113,24,137,7,Fall2018
4942,SE King & Bell,3230,E,OP,9,59,68,4,Fall2018
4945,SE King & Hollywood,3231,E,OP,10,7,17,1,Fall2018
4946,SE King & Hollywood,3232,W,FS,7,10,17,0,Fall2018
4947,SE King & Home,3233,E,FS,8,10,18,0,Fall2018
4949,SE King & Linwood,3234,E,FS,40,41,81,16,Fall2018
4950,SE King & Linwood,3235,W,NS,45,36,81,13,Fall2018
6706,SW King & Salmon,3236,N,NS,4,1,5,0,Fall2018
4951,SE King & Stanley,3237,W,NS,17,12,29,1,Fall2018
4952,SE King & Stanley,3238,E,NS,12,19,31,0,Fall2018
4933,SE King & 47th,3242,E,NS,6,6,12,2,Fall2018
4934,SE King & 47th,3243,W,OP,6,3,9,1,Fall2018
4935,SE King & 52nd,3245,E,NS,2,3,5,0,Fall2018
4936,SE King & 52nd,3246,W,OP,4,3,7,1,Fall2018
4937,SE King & 66th,3249,W,NS,13,8,21,1,Fall2018
4938,SE King & 66th,3250,E,NS,8,12,20,0,Fall2018
4939,SE King & 74th,3251,E,NS,13,16,29,1,Fall2018
4940,SE King & 77th,3254,W,OP,12,3,15,5,Fall2018
6707,SW Kingston & Japanese Garden,3276,N,OP,11,11,22,2,Fall2018
6709,SW Knight & Kingston,3277,S,FS,0,0,0,0,Fall2018
6708,SW Kingston & Tichner,3279,N,NS,0,0,0,1,Fall2018
6710,SW Knights & Kingston,3291,N,NS,1,0,1,0,Fall2018
1151,Kruse Way & Carman,3293,E,NS,11,3,14,0,Fall2018
1152,Kruse Way & Carman,3294,W,NS,2,11,13,3,Fall2018
1154,Kruse Way & Kruse Oaks,3295,E,FS,6,5,11,2,Fall2018
1155,Kruse Way & Kruse Oaks,3296,W,FS,5,12,17,41,Fall2018
1153,Kruse Way & Daniel Way,3297,W,NS,2,4,6,0,Fall2018
1156,Kruse Way & Kruse Woods,3298,E,FS,12,7,19,19,Fall2018
1157,Kruse Way & Mercantile,3299,E,FS,4,2,6,0,Fall2018
1158,Kruse Way & Westlake Dr,3300,W,FS,5,10,15,14,Fall2018
4955,SE Ladd & Division,3301,N,FS,11,3,14,1,Fall2018
4956,SE Ladd & Division,3302,S,NS,13,17,30,4,Fall2018
4957,SE Ladd & Hawthorne,3303,N,NS,12,42,54,1,Fall2018
4958,SE Ladd & Ladd Circle,3304,S,NS,10,5,15,0,Fall2018
4959,SE Ladd & Ladd Circle,3305,N,NS,14,8,22,0,Fall2018
4960,SE Ladd & Lavender,3307,N,NS,4,1,5,0,Fall2018
4961,SE Ladd & Lavender,3308,S,NS,3,3,6,0,Fall2018
4963,SE Ladd & Palm St,3309,S,NS,6,8,14,0,Fall2018
