location,location_id,direction,position,ons,offs,total,lifts,
SW Allen & Hall,102,E,NS,11,51,62,9,
SW Allen & Hall,103,W,NS,36,20,56,2,
SW Allen & Menlo,104,E,NS,25,7,32,0,
SW Allen & Menlo,105,W,NS,8,25,33,1,
SW Allen & Murray,106,E,FS,29,4,33,8,
SW Allen & Taralynn,108,W,FS,2,10,12,2,
SW Allen & Wilson,111,E,NS,15,5,20,0,
SW Allen & Wilson,112,W,OP,6,13,19,1,
SW Allen & 141st,113,E,OP,21,3,24,0,
SW Allen & 141st,114,W,NS,2,21,23,2,
N Anchor & Channel,115,E,NS,259,183,442,34,
NE 21st & Argyle,118,S,FS,18,0,18,0,
W Arlington & Barton,121,E,NS,31,7,38,5,
W Arlington & Barton,122,W,NS,0,5,5,0,
W Arlington & Beatrice,123,E,NS,1,0,1,0,
W Arlington & Beatrice,124,W,NS,0,1,1,0,
W Arlington & Bellevue,125,E,NS,0,2,2,0,
W Arlington & Bellevue,126,W,NS,0,0,0,0,
E Arlington & Cornell,131,E,NS,2,2,4,0,
E Arlington & Cornell,132,W,NS,2,1,3,0,
E Arlington & Harvard,133,E,NS,1,0,1,0,
