location,location_id,direction,position,ons,offs,total,lifts
19th & B St,146,E,FS,275,185,460,103
B Ave & Second St,147,W,NS,18,25,43,1
10100 Block SW Barbur,150,E,AT,16,20,36,2
10700 Block SW Barbur,152,S,AT,1,6,7,0
11100 Block SW Barbur,153,W,AT,1,2,3,0
11100 Block SW Barbur,154,E,OP,2,1,3,0
4900 Block SW Barbur,155,S,OP,57,69,126,3
4900 Block SW Barbur,156,N,AT,72,59,131,4
SW Barbur & 26th Ave,159,E,OP,45,12,57,4
9500 Block SW Barbur,160,E,AT,11,5,16,2
SW Barbur & Alice,162,E,FS,30,8,38,4
SW Barbur & Alice,163,W,NS,7,24,31,1
SW Barbur & Taylors Ferry,164,W,NS,4,16,20,1
SW Barbur & Barbur Ct,165,W,OP,10,43,53,7
SW Barbur & Capitol Hwy,168,E,NS,63,38,101,3
SW Barbur & Capitol Hill,170,S,FS,36,126,162,11
SW Barbur & Hamilton,172,N,FS,163,100,263,17
SW Barbur & Hamilton,173,W,NS,100,180,280,13
SW Barbur & Hooker,174,N,NS,31,25,56,0
SW Barbur & Hooker,175,S,NS,24,39,63,1
SW Barbur & Lane,176,S,NS,6,27,33,0
SW Barbur & Lane,177,N,OP,30,15,45,1
SW Barbur & Luradel,178,S,OP,21,49,70,1
SW Barbur & Luradel,179,N,FS,48,23,71,1
SW Barbur & Moss,180,N,NS,23,4,27,0
SW Barbur & Parkhill Dr,181,S,FS,1,3,4,0
SW Barbur & Parkhill,182,N,FS,3,2,5,0
11200 Block SW Barbur,183,E,AT,14,5,19,0
11200 Block SW Barbur,184,W,OP,4,12,16,0
SW Barbur & Pennoyer,185,S,OP,6,17,23,0
SW Barbur & Pennoyer,186,N,FS,19,8,27,0
SW Barbur & Primrose,187,W,NS,20,63,83,26
SW Barbur & Capitol Hwy,188,S,FS,5,9,14,0
SW Barbur & Slavin/Capitol Hwy,189,N,OP,4,4,8,0
SW Barbur & Terwilliger,191,W,FS,34,68,102,3
SW Barbur & Terwilliger,193,E,FS,72,22,94,1
8900 Block SW Barbur,194,W,AT,3,29,32,11
SW Barbur & Whitaker,195,N,FS,15,25,40,0
SW Barbur & Whitaker,196,S,OP,26,18,44,0
SW Barbur & Woods,197,N,NS,10,9,19,1
SW Barbur & Woods,198,S,OP,6,9,15,0
SW Barbur & Bertha,199,W,FS,121,209,330,36
SW Barbur & 13th,200,W,FS,16,28,44,7
SW Barbur & Evans,201,S,NS,5,26,31,0
 ,,,,,,,
TriMet Passenger Census - Fall 2019,4,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 Weekday,,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
SW Barbur & 19th,202,E,NS,103,34,137,14
SW Barbur & 2nd,203,N,NS,53,6,59,2
SW Barbur & 3rd,207,W,NS,13,61,74,2
SW Barbur & 30th,208,E,FS,87,21,108,34
SW Barbur & 53rd,209,W,NS,8,18,26,0
SW Barbur & 53rd,210,E,FS,21,12,33,0
SW Pacific Hwy & 64th,211,E,NS,39,26,65,2
Barbur Transit Center,212,E,AT,537,46,583,35
12200 Block NW Barnes,227,S,AT,38,7,45,0
NW Barnes & Saltzman,228,N,AT,10,14,24,1
7600 Block SW Barnes,229,E,FS,34,5,39,0
8200 Block SW Barnes (Art School),230,E,OP,4,7,11,0
8200 Block SW Barnes (Art School),231,W,AT,5,3,8,0
9300 Block SW Barnes,233,E,AT,8,7,15,2
12400 Block NW Barnes,234,N,OP,13,32,45,0
8800 Block SW Barnes (Catlin Gabel School),235,W,NS,4,20,24,0
SW Barnes & Leahy,236,E,NS,85,20,105,0
SW Barnes & Leahy,237,W,NS,12,77,89,0
SW Barnes & Miller,238,E,FS,33,23,56,3
SW Barnes & Miller,239,W,FS,19,59,78,2
SW Barnes & Monterey/St Vincent Hosp Dr,240,W,NS,1,6,7,0
SW Barnes & Monterey,241,E,NS,7,2,9,1
SW Barnes & W Stark,247,E,FS,33,8,41,0
SW Barnes & 70th,251,E,OP,5,0,5,0
SW Barnes & 70th,252,W,FS,1,11,12,0
SW Barnes & 84th,253,W,FS,4,5,9,0
