location,location_id,direction,position,ons,offs,total,lifts
82nd Dr & E Berkeley,141,S,FS,3,3,6,1
SW Arthur & 1st,142,E,NS,29,46,75,16
SW Arthur & 1st,143,W,NS,73,58,131,22
19th & B St,146,E,FS,296,201,497,102
B Ave & Second St,147,W,NS,17,26,43,0
10100 Block SW Barbur,150,E,AT,14,19,33,6
10700 Block SW Barbur,152,S,AT,1,4,5,0
11100 Block SW Barbur,153,W,AT,1,1,2,0
11100 Block SW Barbur,154,E,OP,2,1,3,0
4900 Block SW Barbur,155,S,OP,59,68,127,2
4900 Block SW Barbur,156,N,AT,69,56,125,5
SW Barbur & 26th Ave,159,E,OP,42,10,52,4
9500 Block SW Barbur,160,E,AT,11,4,15,1
SW Barbur & Alice,162,E,FS,29,10,39,5
SW Barbur & Alice,163,W,NS,7,24,31,2
SW Barbur & Taylors Ferry,164,W,NS,5,13,18,2
SW Barbur & Barbur Ct,165,W,OP,7,35,42,5
SW Barbur & Capitol Hwy,168,E,NS,66,36,102,3
SW Barbur & Capitol Hill,170,S,FS,39,138,177,20
SW Barbur & Hamilton,172,N,FS,148,97,245,21
SW Barbur & Hamilton,173,W,NS,96,168,264,11
SW Barbur & Hooker,174,N,NS,31,19,50,1
SW Barbur & Hooker,175,S,NS,25,43,68,3
SW Barbur & Lane,176,S,NS,9,25,34,0
SW Barbur & Lane,177,N,OP,33,17,50,2
SW Barbur & Luradel,178,S,OP,19,54,73,6
SW Barbur & Luradel,179,N,FS,50,25,75,7
SW Barbur & Moss,180,N,NS,22,6,28,3
SW Barbur & Parkhill Dr,181,S,FS,1,4,5,0
SW Barbur & Parkhill,182,N,FS,4,2,6,0
11200 Block SW Barbur,183,E,AT,11,5,16,0
11200 Block SW Barbur,184,W,OP,3,11,14,0
SW Barbur & Pennoyer,185,S,OP,15,13,28,0
SW Barbur & Pennoyer,186,N,FS,11,7,18,0
SW Barbur & Primrose,187,W,NS,20,63,83,29
SW Barbur & Capitol Hwy,188,S,FS,3,6,9,0
SW Barbur & Slavin/Capitol Hwy,189,N,OP,4,3,7,0
SW Barbur & Terwilliger,191,W,FS,29,62,91,2
SW Barbur & Terwilliger,193,E,FS,68,17,85,4
8900 Block SW Barbur,194,W,AT,3,32,35,1
SW Barbur & Whitaker,195,N,FS,14,24,38,1
SW Barbur & Whitaker,196,S,OP,12,12,24,0
SW Barbur & Woods,197,N,NS,9,7,16,2
SW Barbur & Woods,198,S,OP,8,9,17,1
 ,,,,,,,
TriMet Passenger Census -Spring 2019,4,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 Weekday,,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
SW Barbur & Bertha,199,W,FS,116,199,315,27
SW Barbur & 13th,200,W,FS,16,25,41,3
SW Barbur & Evans,201,S,NS,3,22,25,0
SW Barbur & 19th,202,E,NS,106,33,139,14
SW Barbur & 2nd,203,N,NS,58,3,61,1
SW Barbur & 3rd,207,W,NS,11,65,76,1
SW Barbur & 30th,208,E,FS,94,20,114,29
SW Barbur & 53rd,209,W,NS,8,17,25,0
SW Barbur & 53rd,210,E,FS,21,11,32,1
SW Pacific Hwy & 64th,211,E,NS,42,24,66,2
Barbur Transit Center,212,E,AT,548,53,601,20
12200 Block NW Barnes,227,S,AT,45,8,53,1
NW Barnes & Saltzman,228,N,AT,10,15,25,4
7600 Block SW Barnes,229,E,FS,33,6,39,1
8200 Block SW Barnes (Art School),230,E,OP,6,8,14,0
8200 Block SW Barnes (Art School),231,W,AT,9,7,16,0
9300 Block SW Barnes,233,E,AT,7,8,15,5
12400 Block NW Barnes,234,N,OP,12,38,50,0
8800 Block SW Barnes (Catlin Gabel School),235,W,NS,3,16,19,1
SW Barnes & Leahy,236,E,NS,89,25,114,1
SW Barnes & Leahy,237,W,NS,19,85,104,2
SW Barnes & Miller,238,E,FS,31,25,56,2
SW Barnes & Miller,239,W,FS,20,55,75,2
SW Barnes & Monterey/St Vincent Hosp Dr,240,W,NS,3,6,9,1
SW Barnes & Monterey,241,E,NS,8,3,11,2
SW Barnes & W Stark,247,E,FS,24,8,32,0
SW Barnes & 70th,251,E,OP,4,1,5,1
SW Barnes & 70th,252,W,FS,1,9,10,1
SW Barnes & 84th,253,W,FS,4,6,10,0
SW Barnes & 88th,255,E,NS,18,3,21,0
E Baseline & Valley View,256,E,OP,5,1,6,1
SE Tualatin Valley Hwy & 44th,257,W,NS,40,30,70,119
700 Block Baseline,258,E,AT,13,5,18,2
SW Baseline & Adams,259,W,NS,80,13,93,25
E Main & NE Brookwood,260,W,FS,4,13,17,1
E Main & SE Brookwood,261,E,NS,14,4,18,1
Baseline St & S 26th,263,E,NS,39,15,54,6
SW Baseline St & 17th,264,W,OP,31,42,73,19
W Baseline Rd & SW Lisa,265,W,FS,6,1,7,0
2200 Block Baseline,267,E,AT,50,30,80,22
1000 Block SW Baseline St,268,W,AT,26,52,78,18
W Baseline Rd & SW Willow Creek Dr,269,E,NS,1,16,17,0
Baseline St & S 1st,270,E,FS,20,20,40,13
Baseline St & S 10th,271,E,NS,60,27,87,25
Baseline St & S 12th,272,E,FS,77,30,107,13
Baseline St & S 14th,273,E,NS,47,29,76,6
W Baseline Rd & SW 185th,275,W,FS,0,0,0,0
 ,,,,,,,
TriMet Passenger Census -Spring 2019,5,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
Baseline & S 20th,277,E,NS,49,35,84,13
W Baseline Rd & SW 194th,278,E,FS,1,1,2,0
W Baseline Rd & SW 195th,279,W,NS,1,1,2,0
SE Baseline St & 2nd,280,W,NS,110,165,275,43
Baseline St & N 26th,284,W,FS,9,32,41,6
Baseline St & N 29th/Hobbs,285,E,OP,9,5,14,0
Baseline St & N 29th/Hobbs,286,W,FS,7,15,22,0
Baseline St & N 31st,287,W,FS,5,7,12,0
E Main & NE 32nd,288,W,NS,3,9,12,1
SW Baseline & 331st,290,W,OP,0,2,2,0
SW Baseline & 331st,291,E,FS,3,1,4,0
SW Baseline & NW 334th,292,W,FS,2,8,10,2
SW Baseline & NW 334th,293,E,OP,6,2,8,0
Baseline & NW 338th,296,W,FS,1,4,5,1
Baseline & NW 338th,297,E,OP,3,3,6,2
Baseline St & Valley View,298,W,AT,2,10,12,1
SW Baseline & 345th,300,E,NS,11,7,18,3
E Main & NE 37th,301,W,NS,6,4,10,0
E Main & SE 37th,302,E,NS,4,6,10,0
Baseline St & S 4th,303,E,NS,110,33,143,37
SE Baseline St & 3rd,304,W,NS,64,104,168,11
E Main & NE 40th,305,W,NS,1,1,2,0
E Main & NE 40th,306,E,OP,4,4,8,0
SE Baseline St & 5th,307,W,NS,11,42,53,21
SE Baseline St & 7th,308,W,NS,32,69,101,26
SE Baseline St & 9th,310,W,NS,73,124,197,30
6200 Block N Basin,313,E,AT,1,1,2,1
6300 Block N Basin,314,N,AT,0,4,4,0
