full_route,boarding_rides,rides_rev_hour,rides_veh_hour,cost_per_ride,passenger_miles,delete1,ave_trip_length,delete2,delete3,delete4,delete5
MAX Blue Line,"55,190",168.6,136.0,$2.58,"346,162",55.5,"58,590",144.1,"-3,400",-8.0,
MAX Green Line,"21,640",184.2,134.9,$2.60,"98,966",48.2,"21,270",146.3,370,-11.4,
MAX Orange Line,"12,060",154.7,117.2,$2.99,"49,996",40.7,"11,920",119.5,140,-2.2,
MAX Red Line,"20,250",152.6,123.6,$2.84,"117,130",45.0,"20,240",131.0,10,-7.4,
MAX Yellow Line,"13,180",181.6,132.0,$2.66,"41,959",40.8,"13,710",143.8,-530,-11.8,
WES Commuter Rail,"1,580",109.7,64.5,$21.12,"13,345",28.6,"1,750",71.8,-170,-7.2,
,,,,,,,,,,,
Portland Streetcar - NS Line,,,,,,,,,,,
Portland Streetcar - A Loop,,,,,,,,,,,
Portland Streetcar - B Loop,,,,,,,,,,,
Portland Aerial Tram,,,,,,,,,,,
,,,,,,,,,,,
1-Vermont,410,21.2,16.1,$6.32,"1,352",5.5,390,17.3,20,-1.2,
4-Division/Fessenden,"16,450",47.5,37.3,$2.73,"53,816",13.2,"17,110",39.2,-660,-1.9,
6-Martin Luther King Jr Blvd,"5,950",43.4,33.7,$3.02,"15,682",8.6,"5,820",36.6,130,-2.9,
8-Jackson Park/NE 15th,"6,090",44.8,31.5,$3.23,"13,031",9.3,"6,400",33.1,-310,-1.6,
9-Powell Blvd,"8,750",42.9,32.4,$3.14,"31,139",12.6,"9,200",34.0,-450,-1.6,
10-Harold St,"2,360",29.7,23.9,$4.25,"7,199",6.8,"2,320",24.1,40,-0.1,
11-Rivergate/Marine Dr,160,14.3,9.5,$10.73,897,3.7,160,9.7,0,-0.2,
12-Barbur/Sandy Blvd,"8,200",43.0,32.0,$3.18,"29,796",13.1,"8,410",37.8,-210,-5.8,
14-Hawthorne,"5,910",54.8,41.9,$2.43,"12,297",10.2,"5,720",40.3,190,1.5,
15-Belmont/NW 23rd,"8,160",44.3,32.5,$3.13,"18,728",10.0,"8,550",34.1,-390,-1.6,
16-Front Ave/St Helens Rd,770,21.3,15.0,$6.77,"4,630",6.3,760,15.3,10,-0.2,
17-Holgate/Broadway,"5,970",35.7,27.8,$3.66,"20,780",10.9,"6,400",29.7,-430,-2.0,
18-Hillside,30,13.9,13.9,$7.33,48,2.1,30,17.1,0,-3.2,
19-Woodstock/Glisan,"6,020",34.8,27.7,$3.67,"19,646",9.0,"6,310",29.0,-290,-1.3,
20-Burnside/Stark,"11,020",45.8,36.0,$2.83,"40,566",12.4,"11,250",36.8,-230,-0.8,
21-Sandy Blvd/223rd,"2,070",32.3,21.0,$4.84,"7,169",6.5,"2,060",21.6,10,-0.6,
22-Parkrose,560,32.1,23.0,$4.42,814,2.9,560,23.6,0,-0.6,
23-San Rafael,140,20.0,12.4,$8.18,302,2.4,140,12.1,0,0.3,
24-Fremont,500,19.3,14.3,$7.11,"1,238",3.3,530,15.1,-30,-0.8,
25-Glisan/Rockwood,160,22.6,15.5,$6.56,332,2.7,190,19.4,-30,-3.9,
29-Lake/Webster Rd,230,18.9,15.4,$6.62,747,3.8,220,14.2,10,1.2,
30-Estacada,580,16.0,10.5,$9.67,"5,720",5.9,590,10.6,-10,-0.1,
32-Oatfield,600,14.6,11.0,$9.27,"2,286",3.8,620,11.1,-20,-0.1,
33-McLoughlin/King Rd,"5,100",34.7,25.4,$4.00,"21,552",10.1,"5,090",25.3,10,0.1,
34-Linwood/River Rd,520,12.6,9.7,$10.48,"2,301",3.5,530,9.9,-10,-0.1,
35-Macadam/Greeley,"3,800",32.7,24.7,$4.11,"20,810",11.6,"3,870",25.2,-70,-0.5,
