location,location_id,direction,position,ons,offs,total,lifts
12900 Block SW Canyon,13577,E,AT,3,33,36,2
1300 Block NE 25th,10288,N,AT,0,0,0,0
1300 Block NW Eastman,1579,S,AT,2,100,102,15
1300 Block SE 122nd,6643,S,OP,23,57,80,55
13000 Block NW Cornell,8828,E,AT,8,8,16,1
13100 Block NE Airport Way,10717,E,AT,3,10,13,0
13100 Block SE Division,1309,W,AT,24,8,32,1
13100 Block SE Foster,1769,W,AT,3,7,10,0
13200 Block N Lombard,3540,N,AT,1,0,1,0
13200 Block N Lombard,3541,S,OP,1,1,2,0
13300 Block N Rivergate,9193,N,OP,0,0,0,0
13300 Block N Rivergate Blvd,9196,S,AT,0,0,0,0
13300 Block SE Hubbard,10225,W,OP,6,0,6,0
13300 Block SE Hubbard,10226,E,AT,0,2,2,0
13300 Block SW Pacific Hwy,8260,E,AT,13,3,16,4
13400 Block SW Pacific Hwy,4254,W,AT,6,22,28,11
13500 Block SW Millikan,3892,E,OP,8,8,16,1
13500 Block SW Millikan,9463,W,AT,4,3,7,0
13500 Block SW Park Way,4387,W,AT,0,0,0,0
13600 Block NE Rose Parkway,4955,E,AT,1,2,3,0
13700 Block SE McLoughlin,3780,N,AT,4,6,10,1
13700 Block SE McLoughlin,3827,S,OP,8,9,17,2
13800 Block NW Cornell (Sunset HS),1186,E,AT,2,5,7,0
13800 Block SE Oatfield,13186,N,AT,0,1,1,0
13900 Block NW Cornell,1165,W,AT,2,2,4,1
13900 Block SW 72nd,9469,E,AT,1,2,3,0
13900 Block SW 72nd,9509,W,OP,1,0,1,0
13900 Block SW Millikan,9464,W,AT,2,2,4,0
13900 Block SW Millikan,9466,E,OP,3,3,6,0
1400 Block Molalla,11473,N,OP,11,2,13,3
1400 Block NE 223rd,9773,N,AT,6,6,12,0
1400 Block NW Naito Parkway,13868,S,OP,1,1,2,0
1400 Block SW Bertha,467,E,AT,2,1,3,0
1400 Block SW Taylors Ferry,5690,E,AT,2,0,2,0
14000 Block SE 97th,9007,W,AT,7,0,7,0
14000 Block SE River Rd,4822,N,AT,1,0,1,0
14100 Block NW Cornell,1166,E,OP,1,0,1,0
14100 Block NW Cornell,1167,W,AT,2,8,10,0
14100 Block SE Oatfield,4136,S,AT,1,1,2,0
 ,,,,,,,
TriMet Passenger Census -Fall 2018,4,,,,,,
All Day Ons and Offs by Stop Location ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
14100 Block SE River Rd,4823,S,AT,0,1,1,0
14100 Block SW 72nd,7895,N,AT,1,0,1,0
14100 Block SW 72nd,7896,S,OP,0,0,0,0
14100 Block SW Millikan,9465,E,OP,1,4,5,0
14200 Block SE Division,13881,E,AT,19,50,69,8
14300 Block NE Sandy,10789,E,AT,3,2,5,0
14300 Block NE Sandy,10824,W,OP,2,3,5,0
14400 Block SE Johnson,11961,N,AT,7,1,8,0
14400 Block SE Johnson,11964,S,AT,2,1,3,0
14500 Block N Lombard,9434,N,AT,3,1,4,0
14500 Block N Lombard,9460,S,OP,1,4,5,0
14600 Block NE Sacramento,4993,E,OP,5,3,8,0
14600 Block NW Cornell,1189,E,AT,28,14,42,1
14600 Block SE 147th,10146,S,AT,2,3,5,0
14700 Block SW Teal,9208,W,OP,8,3,11,2
1500 Block NE Graham Rd,13976,S,FS,1,0,1,0
1500 Block NE Graham Rd,13989,N,AT,0,0,0,0
1500 Block NW Eastman,1571,S,AT,4,15,19,14
1500 Block SW Sunset Blvd,5552,N,AT,0,0,0,0
1500 Block SW Sunset Blvd,13767,S,OP,0,0,0,0
15300 Block NE Airport Way,10725,W,AT,3,5,8,0
15500 Block NW Springville,10078,W,AT,0,1,1,0
15700 Block SE Hwy 224,2872,S,AT,0,8,8,2
15700 Block SE Hwy 224,2873,N,OP,8,0,8,0
15700 Block SE McKinley,13146,N,AT,0,1,1,0
15700 Block SW 72nd,8495,N,AT,0,0,0,0
15800 Block SW 72nd,5973,S,AT,1,2,3,0
15900 Block SE 82nd Dr,8079,N,AT,55,14,69,5
15900 Block SE 82nd Dr,8086,S,OP,19,51,70,6
1600 Block Beavercreek Rd,9579,W,AT,5,1,6,1
1600 Block Beavercreek Rd,9581,E,AT,1,10,11,3
16000 Block SE Hwy 224,2885,S,FS,0,1,1,0
16000 Block SE Hwy 224,2886,N,NS,1,0,1,0
16000 Block SE McLoughlin,3832,S,AT,10,31,41,5
16100 Block SW Langer,9190,E,AT,13,0,13,1
16200 Block NE Cameron,13940,W,AT,4,4,8,0
16200 Block SE Hwy 224,2875,E,AT,1,5,6,0
