,route_number,route_name,boarding_rides,rides_rev_hour,rides_veh_hour,cost_per_ride,passenger_miles,ave_trip_length,period
6,1,Vermont,430,22.8,15.0,7.01,1217,430,Fall2019
7,2,Division,"9,140",42.8,32.3,3.24,27981,"9,360",Fall2019
8,4,Fessenden,"6,890",37.7,28.2,3.71,19949,"6,760",Fall2019
9,6,Martin Luther King Jr Blvd,"6,380",45.8,34.5,3.04,17040,"5,980",Fall2019
10,8,Jackson Park/NE 15th,"5,860",41.6,29.5,3.56,12703,"6,010",Fall2019
11,9,Powell Blvd,"8,160",39.4,30.0,3.49,27825,"8,350",Fall2019
12,10,Harold St,"2,390",30.2,23.8,4.40,7380,"2,300",Fall2019
13,11,Rivergate/Marine Dr,210,19.3,12.8,8.17,1198,190,Fall2019
14,12,Barbur/Sandy Blvd,"7,910",41.5,30.9,3.39,28152,"7,980",Fall2019
15,14,Hawthorne,"6,030",51.6,39.0,2.69,12261,"5,440",Fall2019
16,15,Belmont/NW 23rd,"8,340",45.0,32.8,3.20,18945,"7,980",Fall2019
17,16,Front Ave/St Helens Rd,800,20.6,14.0,7.48,4545,790,Fall2019
18,17,Holgate/Broadway,"6,500",38.4,29.8,3.52,22323,"5,980",Fall2019
19,18,Hillside,30,16.0,16.0,6.54,39,30,Fall2019
20,19,Woodstock/Glisan,"5,690",32.8,25.4,4.13,18583,"5,440",Fall2019
21,20,Burnside/Stark,"11,400",42.3,33.9,3.09,45827,"11,200",Fall2019
22,21,Sandy Blvd/223rd,"2,010",30.9,20.4,5.13,6200,"2,040",Fall2019
23,22,Parkrose,570,25.2,18.6,5.65,769,570,Fall2019
24,23,San Rafael,150,16.5,11.1,9.46,253,140,Fall2019
25,24,Fremont/NW 18th,"1,280",19.0,13.7,7.63,4473,500,Fall2019
26,25,Glisan/Rockwood,170,17.9,11.8,8.88,360,160,Fall2019
27,29,Lake/Webster Rd,160,12.8,10.3,10.20,547,220,Fall2019
28,30,Estacada,600,16.5,10.9,9.64,5950,590,Fall2019
30,32,Oatfield,570,14.9,10.3,10.20,2143,620,Fall2019
31,33,McLoughlin/King Rd,"4,850",32.9,24.1,4.34,19407,"4,950",Fall2019
32,34,Linwood/River Rd,560,13.5,10.4,10.09,2651,530,Fall2019
33,35,Macadam/Greeley,"3,750",30.1,22.7,4.61,20282,"3,700",Fall2019
34,36,South Shore,220,19.3,12.0,8.77,961,210,Fall2019
35,37,Lake Grove,70,14.0,8.6,12.20,231,70,Fall2019
36,38,Boones Ferry Rd,450,22.2,14.2,7.39,2832,420,Fall2019
37,39,Lewis & Clark,200,20.4,13.6,7.70,418,170,Fall2019
38,42,Denney/Hall,470,23.7,17.9,5.86,1349,420,Fall2019
47,43,Taylors Ferry Rd,320,15.0,11.2,9.38,1385,310,Fall2019
48,44,Capitol Hwy/Mocks Crest,"4,940",38.1,26.8,3.91,19392,"4,720",Fall2019
49,45,Garden Home,"1,080",24.3,18.3,5.74,4974,"1,100",Fall2019
50,46,North Hillsboro,200,16.7,12.4,8.48,606,200,Fall2019
51,47,Main/Evergreen,"1,070",19.8,14.6,7.16,4236,"1,020",Fall2019
52,48,Cornell,"1,850",34.5,23.5,4.45,7213,"1,850",Fall2019
53,50,Cedar Mill,100,19.4,12.3,8.53,357,90,Fall2019
54,51,Vista,330,23.8,15.4,6.79,626,310,Fall2019
55,52,Farmington/185th,"4,290",46.7,33.6,3.12,11230,"4,230",Fall2019
56,53,Arctic/Allen,200,47.9,28.3,3.71,418,190,Fall2019
57,54,Beaverton-Hillsdale Hwy,"2,320",44.0,34.0,3.08,7936,"2,400",Fall2019
58,55,Hamilton,60,23.5,11.9,8.78,251,80,Fall2019
59,56,Scholls Ferry Rd,"1,790",33.4,25.7,4.08,7849,"1,820",Fall2019
60,57,TV Hwy/Forest Grove,"7,080",46.1,33.9,3.09,31868,"7,060",Fall2019
61,58,Canyon Rd,"1,020",33.3,23.9,4.38,3894,"1,070",Fall2019
62,59,Walker/Park Way,100,21.2,14.7,7.12,319,100,Fall2019
63,61,Marquam Hill/Beaverton,570,49.3,25.4,4.12,3694,550,Fall2019
64,62,Murray Blvd,"2,230",36.4,27.6,3.80,8278,"2,240",Fall2019
65,63,Washington Park/Arlington Hts,100,13.7,8.3,12.60,148,120,Fall2019
66,64,Marquam Hill/Tigard,440,40.2,20.5,5.12,2325,430,Fall2019
67,65,Marquam Hill/Barbur Blvd,130,31.1,15.4,6.79,381,130,Fall2019
68,66,Marquam Hill/Hollywood,510,40.9,21.1,4.97,2118,470,Fall2019
69,67,Bethany/158th,720,30.3,22.4,4.68,1550,670,Fall2019
70,68,Marquam Hill/Collins Circle,530,50.9,23.6,4.44,1025,470,Fall2019
71,70,12th/NE 33rd Ave,"3,490",31.6,23.3,4.50,9772,"3,230",Fall2019
72,71,60th Ave,"3,500",29.8,22.1,4.75,10368,"3,570",Fall2019
73,72,Killingsworth/82nd Ave,"13,510",45.7,35.6,2.94,37292,"14,180",Fall2019
74,73,122nd Ave,"4,390",46.5,31.8,3.29,9202,"4,310",Fall2019
75,74,162nd Ave,660,22.5,14.9,7.01,1165,420,Fall2019
76,75,Cesar Chavez/Lombard,"8,910",38.7,30.4,3.45,27176,"8,690",Fall2019
77,76,Beaverton/Tualatin,"2,360",39.7,29.8,3.52,8655,"2,470",Fall2019
78,77,Broadway/Halsey,"5,610",35.4,27.4,3.83,17857,"5,570",Fall2019
79,78,Beaverton/Lake Oswego,"2,290",35.6,26.0,4.03,8868,"2,440",Fall2019
80,79,Clackamas/Oregon City,750,26.1,17.3,6.05,3169,"1,000",Fall2019
81,80,Kane/Troutdale Rd,210,17.5,13.2,7.94,609,250,Fall2019
82,81,Kane/257th,580,32.0,23.2,4.52,2097,460,Fall2019
83,82,South Gresham,220,11.6,8.3,12.61,491,210,Fall2019
84,84,Powell Valley/Orient Dr,80,16.1,9.6,10.90,279,70,Fall2019
85,85,Swan Island,450,29.6,20.7,5.06,1218,430,Fall2019
94,87,Airport Way/181st,"1,050",29.8,19.8,5.29,3045,990,Fall2019
95,88,Hart/198th,"1,520",33.0,23.1,4.54,5759,"1,630",Fall2019
96,92,South Beaverton Express,330,26.9,15.5,6.75,2952,340,Fall2019
97,93,Tigard/Sherwood,640,22.2,13.6,7.71,1852,670,Fall2019
98,94,Pacific Hwy/Sherwood,"2,340",32.3,20.2,5.20,14112,"2,330",Fall2019
99,96,Tualatin/I-5,"1,300",22.4,13.6,7.72,10375,"1,220",Fall2019
100,97,Tualatin-Sherwood Rd,70,9.0,4.5,23.06,136,90,Fall2019
101,99,Macadam/McLoughlin,800,20.4,13.8,7.62,3337,750,Fall2019
102,152,Milwaukie,210,11.7,7.1,14.75,545,200,Fall2019
103,154,Willamette/Clackamas Heights,120,13.2,8.2,12.78,281,130,Fall2019
104,155,Sunnyside,640,27.5,19.5,5.38,1756,600,Fall2019
105,156,Mather Rd,180,17.0,12.9,8.10,707,190,Fall2019
106,272,PDX Night Bus,20,10.3,5.5,19.00,61,10,Fall2019
107,291,Orange Night Bus,20,20.2,15.7,6.66,78,30,Fall2019
