,route_number,route_name,boarding_rides,rides_rev_hour,rides_veh_hour,cost_per_ride,passenger_miles,ave_trip_length,period
55,52,Farmington/185th,"4,240",46.2,33.2,3.26,11131,"4,280",Spring2019
56,53,Arctic/Allen,200,47.4,28.0,3.87,414,200,Spring2019
57,54,Beaverton-Hillsdale Hwy,"2,280",43.3,33.5,3.24,7751,"2,450",Spring2019
58,55,Hamilton,70,26.7,13.5,8.00,301,70,Spring2019
59,56,Scholls Ferry Rd,"1,790",33.6,25.8,4.20,7930,"1,860",Spring2019
60,57,TV Hwy/Forest Grove,"7,230",47.1,34.6,3.13,33038,"7,120",Spring2019
61,58,Canyon Rd,"1,020",33.1,23.8,4.55,3759,"1,060",Spring2019
62,59,Walker/Park Way,100,20.9,14.6,7.44,309,90,Spring2019
63,61,Marquam Hill/Beaverton,550,47.1,24.3,4.46,3624,520,Spring2019
64,62,Murray Blvd,"2,170",35.4,26.8,4.04,7932,"2,310",Spring2019
65,63,Washington Park/Arlington Hts,120,17.1,10.4,10.44,194,120,Spring2019
66,64,Marquam Hill/Tigard,450,41.1,20.6,5.26,2396,400,Spring2019
67,65,Marquam Hill/Barbur Blvd,130,30.0,14.9,7.26,381,150,Spring2019
68,66,Marquam Hill/Hollywood,460,37.2,19.2,5.64,1944,440,Spring2019
69,67,Bethany/158th,670,28.2,20.9,5.19,1374,680,Spring2019
70,68,Marquam Hill/Collins Circle,490,47.8,22.0,4.93,1003,460,Spring2019
71,70,12th/NE 33rd Ave,"3,250",29.4,21.7,4.99,9161,"3,220",Spring2019
72,71,60th Ave,"3,520",29.9,22.2,4.89,10842,"3,750",Spring2019
73,72,Killingsworth/82nd Ave,"14,190",48.0,37.4,2.90,39122,"14,740",Spring2019
74,73,122nd Ave,"4,400",46.5,31.9,3.39,9038,"4,170",Spring2019
75,74,162nd Ave,430,26.5,16.9,6.41,746,370,Spring2019
76,75,Cesar Chavez/Lombard,"8,610",37.5,29.4,3.68,26944,"8,820",Spring2019
77,76,Beaverton/Tualatin,"2,400",40.2,30.2,3.59,8911,"2,500",Spring2019
78,77,Broadway/Halsey,"5,520",34.9,26.9,4.02,17381,"5,530",Spring2019
79,78,Beaverton/Lake Oswego,"2,320",35.9,26.2,4.13,9020,"2,460",Spring2019
80,79,Clackamas/Oregon City,740,25.9,17.2,6.31,3135,"1,020",Spring2019
81,80,Kane/Troutdale Rd,240,21.1,15.2,7.13,659,270,Spring2019
82,81,Kane/257th,470,25.7,18.5,5.86,1562,230,Spring2019
83,82,South Gresham,220,11.8,8.4,12.83,518,190,Spring2019
84,84,Powell Valley/Orient Dr,70,14.8,8.8,12.24,239,80,Spring2019
85,85,Swan Island,430,28.3,19.8,5.47,1060,410,Spring2019
94,87,Airport Way/181st,"1,040",29.6,19.6,5.51,2868,900,Spring2019
95,88,Hart/198th,"1,590",35.4,24.2,4.47,5932,"1,630",Spring2019
96,92,South Beaverton Express,350,27.9,17.1,6.32,3047,380,Spring2019
97,93,Tigard/Sherwood,650,22.7,13.9,7.80,1905,630,Spring2019
98,94,Pacific Hwy/Sherwood,"2,300",31.6,19.8,5.46,13833,"2,310",Spring2019
99,96,Tualatin/I-5,"1,230",21.2,12.8,8.45,9776,"1,070",Spring2019
100,97,Tualatin-Sherwood Rd,80,10.3,5.2,20.73,176,90,Spring2019
101,99,Macadam/McLoughlin,780,19.7,13.3,8.15,3429,720,Spring2019
102,152,Milwaukie,200,11.4,6.9,15.70,509,180,Spring2019
103,154,Willamette/Clackamas Heights,140,14.9,9.3,11.69,307,130,Spring2019
104,155,Sunnyside,570,24.6,17.4,6.22,1580,580,Spring2019
105,156,Mather Rd,190,18.1,13.7,7.88,774,200,Spring2019
107,291,Orange Night Bus,30,21.5,16.7,6.47,75,30,Spring2019
