,route_number,route_name,boarding_rides,rides_rev_hour,rides_veh_hour,cost_per_ride,passenger_miles,ave_trip_length,period
6,1,Vermont,430,21.9,14.5,7.44,1235,410,Spring2019
8,4,Fessenden,"6,650",36.4,27.5,3.94,19310,"16,450",Spring2019
9,6,Martin Luther King Jr Blvd,"6,260",44.9,33.9,3.20,17013,"5,950",Spring2019
10,8,Jackson Park/NE 15th,"5,980",42.5,29.7,3.65,12888,"6,090",Spring2019
11,9,Powell Blvd,"8,330",40.6,30.7,3.53,29906,"8,750",Spring2019
12,10,Harold St,"2,300",29.1,23.0,4.70,6889,"2,360",Spring2019
13,11,Rivergate/Marine Dr,160,14.4,9.5,11.35,866,160,Spring2019
14,12,Barbur/Sandy Blvd,"8,000",42.0,31.2,3.47,28654,"8,200",Spring2019
15,14,Hawthorne,"5,780",49.5,37.5,2.89,11745,"5,910",Spring2019
16,15,Belmont/NW 23rd,"8,220",44.6,32.2,3.36,18788,"8,160",Spring2019
17,16,Front Ave/St Helens Rd,800,21.5,15.4,7.03,4690,770,Spring2019
18,17,Holgate/Broadway,"6,190",36.6,28.4,3.82,21188,"5,970",Spring2019
19,18,Hillside,30,16.8,16.8,6.43,59,30,Spring2019
20,19,Woodstock/Glisan,"5,630",32.3,25.0,4.34,18300,"6,020",Spring2019
21,20,Burnside/Stark,"11,430",42.6,34.0,3.19,46132,"11,020",Spring2019
22,21,Sandy Blvd/223rd,"1,980",30.9,20.0,5.41,6890,"2,070",Spring2019
23,22,Parkrose,550,24.4,18.0,6.02,707,560,Spring2019
24,23,San Rafael,160,16.9,11.3,9.55,262,140,Spring2019
25,24,Fremont/NW 18th,940,14.4,10.5,10.36,3259,500,Spring2019
26,25,Glisan/Rockwood,170,17.7,11.6,9.33,329,160,Spring2019
27,29,Lake/Webster Rd,160,13.2,10.6,10.18,578,230,Spring2019
28,30,Estacada,590,16.3,10.7,10.13,5906,580,Spring2019
30,32,Oatfield,600,14.4,10.0,10.80,2191,600,Spring2019
31,33,McLoughlin/King Rd,"4,910",33.4,24.5,4.42,19853,"5,100",Spring2019
32,34,Linwood/River Rd,540,13.1,10.1,10.73,2534,520,Spring2019
33,35,Macadam/Greeley,"3,670",29.5,22.1,4.90,20332,"3,800",Spring2019
34,36,South Shore,200,19.3,11.5,9.43,906,210,Spring2019
35,37,Lake Grove,70,18.2,11.9,9.08,216,80,Spring2019
36,38,Boones Ferry Rd,410,20.1,12.8,8.45,2634,410,Spring2019
37,39,Lewis & Clark,150,15.1,10.1,10.76,317,150,Spring2019
38,42,Denney/Hall,430,21.5,16.2,6.66,1280,390,Spring2019
47,43,Taylors Ferry Rd,330,15.2,11.5,9.44,1421,310,Spring2019
48,44,Capitol Hwy/Mocks Crest,"4,840",37.3,26.0,4.16,19552,"4,650",Spring2019
49,45,Garden Home,"1,060",23.9,18.0,6.02,4975,"1,040",Spring2019
50,46,North Hillsboro,210,17.1,12.6,8.57,595,200,Spring2019
51,47,Main/Evergreen,"1,020",18.8,13.9,7.79,4020,"1,010",Spring2019
52,48,Cornell,"1,820",33.9,23.2,4.67,7310,"1,770",Spring2019
53,50,Cedar Mill,90,18.1,11.4,9.47,330,80,Spring2019
54,51,Vista,300,21.5,13.9,7.77,597,320,Spring2019
